decision_gw,squad_no,start_ft,wait,total_transfers,spend_predicted,spend_realised,hold_predicted,hold_realised,hold_edge
18,1,2,1,3,16.142852225351362,-2.0,17.45376467981265,23.0,25.0
18,1,2,2,4,16.142852225351362,5.0,15.958545817262717,32.0,27.0
18,2,1,1,2,10.449860493285087,20.0,19.913147560489904,35.0,15.0
18,2,1,2,3,10.449860493285087,23.0,24.669741734965896,5.0,-18.0
18,2,2,1,3,28.54873268351912,6.0,30.477621350221227,4.0,-2.0
18,2,2,2,4,28.54873268351912,9.0,31.67513520466889,18.0,9.0
18,3,1,1,2,15.692444236768466,40.0,29.999665402794392,40.0,0.0
18,3,1,2,3,15.692444236768466,53.0,26.11708095362357,33.0,-20.0
18,3,2,1,3,30.653842304412052,33.0,36.59129070418297,33.0,0.0
18,3,2,2,4,30.653842304412052,46.0,33.45366908012241,5.0,-41.0
18,4,1,1,2,16.877396645663396,35.0,27.89447219285813,41.0,6.0
18,4,1,2,3,16.877396645663396,40.0,31.23188652250451,11.0,-29.0
18,4,2,1,3,31.83879471330698,15.0,35.84716664488599,8.0,-7.0
18,4,2,2,4,31.83879471330698,23.0,35.325157280067685,15.0,-8.0
18,5,1,1,2,9.181633136588317,24.0,24.146631800380476,14.0,-10.0
18,5,1,2,3,9.181633136588317,30.0,24.243154100281828,42.0,12.0
18,5,2,1,3,25.992334224748873,27.0,41.37178663565791,23.0,-4.0
18,5,2,2,4,25.992334224748873,33.0,27.006421037813368,42.0,9.0
18,6,1,1,2,16.877396645663396,17.0,30.935503972629533,7.0,-10.0
18,6,1,2,3,16.877396645663396,20.0,27.677011039351896,27.0,7.0
18,6,2,1,3,34.561414183819466,18.0,35.758386025798046,-4.0,-22.0
18,6,2,2,4,34.561414183819466,21.0,31.556083254864603,1.0,-20.0
18,7,1,1,2,10.534307689032858,19.0,25.202382832698362,18.0,-1.0
18,7,1,2,3,10.534307689032858,29.0,16.279300022150096,27.0,-2.0
18,7,2,1,3,27.491456691186954,17.0,31.82303778820446,16.0,-1.0
18,7,2,2,4,27.491456691186954,27.0,19.042566959681636,41.0,14.0
18,8,1,1,2,16.877396645663396,20.0,21.321163148607752,20.0,0.0
18,8,1,2,3,16.877396645663396,22.0,19.68085408158956,19.0,-3.0
18,8,2,1,3,22.826230298958592,23.0,39.72559462164918,14.0,-9.0
18,8,2,2,4,22.826230298958592,18.0,30.516692725829387,17.0,-1.0
18,9,1,1,2,16.877396645663453,14.0,33.10493966614308,14.0,0.0
18,9,1,2,3,16.877396645663453,23.0,29.69934354172753,33.0,10.0
18,9,2,1,3,36.87745663313382,19.0,40.456214900500356,34.0,15.0
18,9,2,2,4,36.87745663313382,27.0,31.029208149545667,28.0,1.0
20,0,1,1,2,6.82350389332737,22.0,18.195881020916687,15.0,-7.0
